CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
686,1,32,6,0.0,2,1,1,179093.26
632,1,42,4,119624.6,2,1,1,195978.86
559,1,24,3,114739.92,1,1,0,85891.02
561,0,27,9,135637.0,1,1,0,153080.4
517,1,56,9,142147.32,1,0,0,39488.04
569,1,41,4,120243.49,1,1,0,163150.03
683,0,40,1,0.0,2,0,0,75762.0
759,0,45,8,0.0,2,1,1,99251.24
426,0,34,3,0.0,2,1,1,61230.83
601,1,74,2,0.0,2,0,1,51554.58
735,0,53,8,123845.36,2,0,1,170454.93
667,0,39,2,0.0,2,1,0,40721.24
741,1,32,5,0.0,1,1,1,64839.23
511,0,30,5,0.0,2,1,0,143994.86
508,0,41,5,0.0,2,1,1,94170.84
529,0,31,7,0.0,2,1,1,175697.87
673,0,44,8,133444.97,1,0,1,5708.19
515,1,40,10,121355.99,1,1,0,138360.29
850,1,49,8,98649.55,1,1,0,119174.88
627,1,28,5,71097.23,1,1,1,130504.49
636,1,36,5,117559.05,2,1,1,111573.3
798,1,28,3,0.0,2,1,0,2305.27
700,1,35,4,95853.39,2,1,0,192933.37
514,1,35,3,121030.9,1,1,0,10008.68
713,0,37,8,0.0,1,1,1,16403.41
467,1,28,10,126315.26,1,1,0,32349.29
689,1,33,2,161814.64,2,1,0,169381.9
510,1,31,0,113688.63,1,1,0,33099.41
618,1,56,7,0.0,1,1,1,142400.27
474,1,45,10,0.0,2,0,0,172175.9
754,1,37,6,0.0,1,1,1,116141.72
703,1,56,9,0.0,1,0,0,85547.33
683,1,30,10,57657.49,1,0,0,79240.9
597,0,26,8,149989.39,1,1,0,42330.58
812,1,24,10,0.0,2,1,1,156906.15
832,0,34,6,138190.13,2,0,1,146511.2
506,1,43,2,0.0,2,1,0,105568.6
685,0,40,7,0.0,1,1,0,72852.74
632,0,50,5,107959.39,1,1,1,6985.34
666,0,27,4,0.0,2,0,0,88751.45
775,0,38,6,179886.41,2,0,0,153122.58
698,0,39,9,161993.89,1,0,0,90212.38
657,0,39,4,80293.81,1,1,0,97192.76
748,0,34,8,0.0,2,1,0,53584.03
642,0,56,6,103244.86,2,1,0,143049.72
844,0,29,8,0.0,2,0,0,147342.03
766,0,45,6,0.0,2,0,0,147184.74
708,0,43,0,118994.84,1,1,0,181499.77
705,1,35,4,136496.12,2,1,0,116672.02
695,0,29,9,0.0,2,1,0,111565.45
507,1,32,7,0.0,2,1,0,67926.18
614,0,34,5,0.0,2,1,0,185561.89
543,1,64,4,0.0,2,1,1,148305.82
562,1,75,5,87140.85,1,1,1,39351.64
607,0,62,8,108004.64,1,1,1,23386.77
709,0,41,3,150300.65,2,1,0,71672.86
634,1,77,5,0.0,2,1,1,161579.85
778,0,47,6,127299.34,2,1,0,124694.99
633,1,58,6,98308.51,1,1,1,132034.13
645,1,28,7,117466.03,2,1,1,34490.06
618,0,35,10,0.0,2,1,0,180439.75
607,1,36,10,106702.94,2,0,0,198313.69
616,1,37,9,0.0,1,1,0,111312.96
679,1,34,7,160515.37,1,1,0,121904.14
630,0,51,0,108449.23,3,0,0,88372.69
646,0,38,2,0.0,2,0,0,178752.73
528,1,32,2,99092.45,1,0,1,111149.98
776,1,37,2,0.0,1,0,1,8065.0
697,0,74,3,108071.36,2,1,1,16445.79
639,1,43,6,99610.92,2,1,0,187296.78
651,0,41,4,133432.59,1,0,1,151303.48
683,1,25,4,0.0,2,1,0,152698.24
523,0,24,5,172231.93,1,0,1,155144.12
850,1,61,1,0.0,1,1,0,53067.83
617,0,39,5,83348.89,3,1,0,7953.62
645,1,47,9,152076.93,1,1,0,121840.2
692,0,36,4,0.0,1,1,0,185580.89
637,1,41,2,0.0,2,0,1,102515.42
704,1,50,4,165438.26,1,1,0,120770.75
829,0,27,9,112045.67,1,1,1,119708.21
591,0,39,3,0.0,3,1,0,140469.38
850,0,35,9,0.0,2,0,0,25329.48
670,1,33,1,0.0,2,1,1,86413.11
691,1,52,3,0.0,1,1,0,175843.68
749,1,42,1,129776.72,2,0,1,143538.51
585,0,33,8,0.0,2,1,0,114182.07
679,0,24,6,114948.76,2,0,1,135768.25
687,1,35,3,0.0,2,1,1,176450.19
689,0,31,3,139799.63,1,0,1,120663.57
546,0,45,2,0.0,1,0,0,197789.83
711,0,34,6,0.0,2,1,1,175310.38
568,1,40,1,99282.63,1,0,0,134600.94
672,1,43,5,0.0,2,1,1,64515.5
690,1,29,5,0.0,2,1,0,108577.97
560,0,66,9,0.0,1,1,1,15928.49
734,1,22,5,130056.23,1,0,0,121894.31
767,1,47,2,0.0,1,1,0,48161.18
785,1,28,8,0.0,2,1,0,77231.27
702,1,34,4,100054.77,1,1,0,109496.45
840,0,51,1,87779.83,1,0,1,36687.11
666,0,47,5,0.0,1,0,0,166650.9
545,0,74,3,0.0,2,1,1,161326.73
629,0,31,6,0.0,1,1,1,16447.6
689,1,45,0,130170.82,2,1,0,150856.38
771,1,51,5,135506.58,3,1,1,152479.64
547,1,43,1,92350.36,1,0,1,80262.91
681,1,65,7,134714.7,2,0,1,190419.81
645,0,24,3,34547.82,1,1,1,11638.17
652,0,51,3,0.0,1,1,0,173989.47
762,1,34,4,88815.56,2,1,0,68562.26
608,0,40,7,96202.32,1,0,0,161154.85
598,1,32,9,123938.6,2,1,0,198894.42
538,1,39,7,108055.1,2,1,0,27231.26
670,0,29,9,0.0,2,1,0,27359.19
529,1,30,2,116295.29,1,1,0,75285.47
758,1,68,6,112595.85,1,1,0,35865.44
687,0,35,3,99587.43,1,1,1,1713.1
429,1,24,4,95741.75,1,1,0,46170.75
610,1,36,7,115462.02,1,0,1,42581.04
619,0,41,5,92467.58,1,1,0,38270.47
625,1,36,9,108546.16,3,1,0,133807.77
663,1,39,4,0.0,1,1,0,76884.05
